sim/none/none                                      Do nothing at all!
sim/igniters/igniter_arm_off_5                     Igniter #5 arm off.
sim/igniters/igniter_arm_off_6                     Igniter #6 arm off.
sim/igniters/igniter_arm_off_7                     Igniter #7 arm off.
sim/igniters/igniter_arm_off_8                     Igniter #8 arm off.
sim/igniters/igniter_contin_on_1                   Igniter #1 contin-ignition on.
sim/igniters/igniter_contin_on_2                   Igniter #2 contin-ignition on.
sim/igniters/igniter_contin_on_3                   Igniter #3 contin-ignition on.
sim/igniters/igniter_contin_on_4                   Igniter #4 contin-ignition on.
sim/igniters/igniter_contin_on_5                   Igniter #5 contin-ignition on.
sim/igniters/igniter_contin_on_6                   Igniter #6 contin-ignition on.
sim/igniters/igniter_contin_on_7                   Igniter #7 contin-ignition on.
sim/igniters/igniter_contin_on_8                   Igniter #8 contin-ignition on.
sim/igniters/igniter_contin_off_1                  Igniter #1 contin-ignition off.
sim/igniters/igniter_contin_off_2                  Igniter #2 contin-ignition off.
sim/igniters/igniter_contin_off_3                  Igniter #3 contin-ignition off.
sim/igniters/igniter_contin_off_4                  Igniter #4 contin-ignition off.
sim/igniters/igniter_contin_off_5                  Igniter #5 contin-ignition off.
sim/igniters/igniter_contin_off_6                  Igniter #6 contin-ignition off.
sim/igniters/igniter_contin_off_7                  Igniter #7 contin-ignition off.
sim/igniters/igniter_contin_off_8                  Igniter #8 contin-ignition off.
sim/fadec/fadec_1_on                               fadec 1 on.
sim/fadec/fadec_2_on                               fadec 2 on.
sim/fadec/fadec_3_on                               fadec 3 on.
sim/fadec/fadec_4_on                               fadec 4 on.
sim/fadec/fadec_5_on                               fadec 5 on.
sim/fadec/fadec_6_on                               fadec 6 on.
sim/fadec/fadec_7_on                               fadec 7 on.
sim/fadec/fadec_8_on                               fadec 8 on.
sim/fadec/fadec_1_off                              fadec 1 off.
sim/fadec/fadec_2_off                              fadec 2 off.
sim/fadec/fadec_3_off                              fadec 3 off.
sim/fadec/fadec_4_off                              fadec 4 off.
sim/fadec/fadec_5_off                              fadec 5 off.
sim/fadec/fadec_6_off                              fadec 6 off.
sim/fadec/fadec_7_off                              fadec 7 off.
sim/fadec/fadec_8_off                              fadec 8 off.
sim/engines/fire_ext_1_on                          fire_ext 1 on.
sim/engines/fire_ext_2_on                          fire_ext 2 on.
sim/engines/fire_ext_3_on                          fire_ext 3 on.
sim/engines/fire_ext_4_on                          fire_ext 4 on.
sim/engines/fire_ext_5_on                          fire_ext 5 on.
sim/engines/fire_ext_6_on                          fire_ext 6 on.
sim/engines/fire_ext_7_on                          fire_ext 7 on.
sim/engines/fire_ext_8_on                          fire_ext 8 on.
sim/engines/fire_ext_1_off                         fire_ext 1 off.
sim/engines/fire_ext_2_off                         fire_ext 2 off.
sim/engines/fire_ext_3_off                         fire_ext 3 off.
sim/engines/fire_ext_4_off                         fire_ext 4 off.
sim/engines/fire_ext_5_off                         fire_ext 5 off.
sim/engines/fire_ext_6_off                         fire_ext 6 off.
sim/engines/fire_ext_7_off                         fire_ext 7 off.
sim/engines/fire_ext_8_off                         fire_ext 8 off.
sim/electrical/generator_1_on                      Generator 1 on.
sim/electrical/generator_2_on                      Generator 2 on.
sim/electrical/generator_3_on                      Generator 3 on.
sim/electrical/generator_4_on                      Generator 4 on.
sim/electrical/generator_5_on                      Generator 5 on.
sim/electrical/generator_6_on                      Generator 6 on.
sim/electrical/generator_7_on                      Generator 7 on.
sim/electrical/generator_8_on                      Generator 8 on.
sim/electrical/generator_1_off                     Generator 1 off.
sim/electrical/generator_2_off                     Generator 2 off.
